150 66
21 50 544
11 89 958
55 85 430
48 59 705
38 93 713
75 98 630
45 88 493
67 94 740
13 117 60
29 77 224
88 92 375
23 46 695
8 24 405
14 132 610
59 111 464
46 55 509
47 63 945
30 42 616
72 123 764
58 77 467
48 97 345
71 108 367
61 68 928
25 44 980
72 143 301
97 136 419
47 53 313
17 64 854
5 45 324
23 35 362
17 70 690
47 83 988
13 93 20
79 95 531
48 56 326
109 131 300
6 125 388
77 113 654
77 89 569
12 109 540
88 101 449
48 84 655
89 102 746
34 37 2
48 105 200
97 141 768
43 109 787
98 135 816
40 73 1000
56 63 6
68 132 155
73 136 783
12 34 489
35 80 848
49 92 969
55 87 521
63 136 476
47 128 123
2 55 757
114 130 209
24 46 485
48 107 859
16 130 282
23 54 979
92 120 316
54 118 741
